Task Name,Task Time,Session Time,Session Start Date,Session End Date,Session Notes
"Project 1","21h 25m","0h 48m","2011-11-21 07:26:22","2011-11-21 08:15:20","Pull requests"
"Project 1","21h 25m","1h 50m","2011-11-21 08:22:04","2011-11-21 10:12:09","21156061"
"Project 1","21h 25m","1h 2m","2011-11-21 10:27:49","2011-11-21 11:30:24","21283989"
"Project 1","21h 25m","0h 20m","2011-11-21 11:50:12","2011-11-21 12:11:11","UAT"
"Project 1","21h 25m","0h 16m","2011-11-21 12:11:12","2011-11-21 12:27:14","21283989"
"Project 1","21h 25m","1h 39m","2011-11-21 14:24:43","2011-11-21 16:04:21",""
"Project 1","21h 25m","1h 45m","2011-11-21 16:14:59","2011-11-21 18:00:17",""
"Project 1","21h 25m","0h 7m","2011-11-28 10:15:26","2011-11-28 10:22:47",""
"Project 1","21h 25m","1h 4m","2011-11-29 09:30:03","2011-11-29 10:34:56","Standup; UAT"
"Project 1","21h 25m","0h 59m","2011-11-30 09:33:18","2011-11-30 10:32:32","Standup; Blackberry push"
"Project 1","21h 25m","3h 28m","2011-11-30 14:32:34","2011-11-30 18:01:05",""
"Project 1","21h 25m","0h 16m","2011-11-30 18:06:32","2011-11-30 18:23:14",""
"Project 1","21h 25m","4h 54m","2011-12-02 09:20:42","2011-12-02 14:15:05","Standup; Push notification fixes"
"Project 1","21h 25m","2h 9m","2011-12-02 17:01:53","2011-12-02 19:11:47",""
"Project 1","21h 25m","0h 5m","2011-12-07 15:28:58","2011-12-07 15:34:18",""
"Project 1","21h 25m","0h 35m","2011-12-12 09:31:45","2011-12-12 10:07:04",""
"Project 2","8h 55m","0h 19m","2011-11-21 11:30:26","2011-11-21 11:50:11","Standup"
"Project 2","8h 55m","0h 1m","2011-11-28 11:29:37","2011-11-28 11:31:13","Standup"
"Project 2","8h 55m","0h 6m","2011-11-30 11:31:33","2011-11-30 11:38:16","Standup
"
"Project 2","8h 55m","0h 20m","2011-12-05 11:31:27","2011-12-05 11:51:30","Standup"
"Project 2","8h 55m","0h 23m","2011-12-08 12:08:13","2011-12-08 12:31:29","Epic postgres bug"
"Project 2","8h 55m","4h 0m","2011-12-08 13:29:04","2011-12-08 17:30:00",""
"Project 2","8h 55m","0h 47m","2011-12-09 10:17:03","2011-12-09 11:04:33","Tracking down issues with staging
"
"Project 2","8h 55m","0h 58m","2011-12-12 11:30:14","2011-12-12 12:28:21","Standup"
"Project 2","8h 55m","0h 10m","2011-12-12 13:45:44","2011-12-12 13:55:55","qa issues"
"Project 2","8h 55m","1h 35m","2011-12-12 14:48:53","2011-12-12 16:24:13","QA fixes"
"Project 2","8h 55m","0h 11m","2011-12-15 11:30:01","2011-12-15 11:41:55","standup"
"Project 3","50h 14m","1h 6m","2011-11-28 10:22:47","2011-11-28 11:29:37","Setup; Code review; Updates"
"Project 3","50h 14m","0h 41m","2011-11-28 11:31:13","2011-11-28 12:13:06",""
"Project 3","50h 14m","5h 41m","2011-11-28 12:35:35","2011-11-28 18:16:56",""
